index,Nombre
0,NS
1,Ancon
2,Ate
3,Barranco
4,Breña
5,Carabayllo
6,Cercado
7,Chaclacayo
8,Chorrillos
9,Cieneguilla
10,Comas
11,El Agustino
12,Independencia
13,Jesus Maria
14,La Molina
15,La Victoria
16,Lince
17,Los Olivos
18,Lurigancho
19,Lurin
20,Magdalena
21,Miraflores
22,Pachacamac
23,Pucusana
24,Pueblo Libre
25,Puente Piedra
26,Punta Hermosa
27,Punta Negra
28,Rimac
29,San Bartolo
30,San Borja
31,San Isidro
32,San Juan De Lurigancho
33,San Juan De Miraflores
34,San Luis
35,San Martin De Porres
36,San Miguel
37,Santa Anita
38,Santa Maria Del Mar
39,Santa Rosa
40,Santiago De Surco
41,Surquillo
42,Villa El Salvador
,Villa Maria Del Triunfo
