Marca,Modelo,Version
AUDI,4000,
,A1,
,A3,
,A4,
,A5,
,A6,
,A7,
,A8,
,Q2,
,Q3,
,Q5,
,Q7,
,R8,
,RS3,
,RS4,
,S3,
,S4,
,S5,
,S6,
,S8,
,TT,
BAIC,D20,
,X25,
,X35,
,X55,
,M20,
,PLUS,
BMW,114i,
,116i,
,118I,
,"120i, 120Ci",
,130i,
,135i,
,1M,
,220I,
,"316, 316-i",
,"318, 318-i",
,"320, 320-i, 320-D",
,"323-i, 323-CI",
,"325-i, 325-CI",
,"328-i, 328-XI",
,"330-i, 330-CI",
,"335-i, 325CI",
,340i,
,"420i, 420GCI",
,428i,
,435i,
,"520, 520-I",
,"523-I, 523-IA",
,525i,
,528-I,
,530i,
,"535-I, 535iGT",
,540-I,
,550i,
,640i,
,650i,
,740i,
,"750i, 750LI",
,M135i,
,M2,
,M235i,
,M3,
,M4,
,M6,
,X1,
,"X1 18i, 20i, 28i",
,"X3 20i, 25i, 28i, 30d/i, 35i",
,X4 20i. 28i,
,"X5 30d/i, 35i, 44I, 48i, M",
,"X6 30d, 35i, 50i, M",
BRILLIANCE,FRV,
,H220,
,H230,
,H530,
,V3,
,V5,
BYD,F0,
,F3,
,S6,
CHANGAN,CS15,
,CS35,
,CS75,
,CX70,
CHERY,ARRIZO,
,BEAT,
,FULLWIN,
,QQ,
,Q22,
,S22,
,S22,
,TIGGO 2,
,TIGGO 3,
,TIGGO 4,
CHEVROLET,AVEO,
,BLAZER,
,CAMARO,
,CAPTIVA,
,CAVALIER,
,CHEVELLE,
,CHEVY TAXY,
,COBALT,
,COLORADO,
,CORSA,
,CORSICA,
,CORVETTE,
,CRUZE,
,EQUINOX,
,MALIBU,
,MONTECARLO,
,MONZA,
,N-200,
,N-300,
,ONIX,
,OPTRA,
,ORLANDO,
,PRISMA,
,S-10,
,SAIL,
,SILVERADO,
,SONIC,
,SPARK,
,SPIN,
,SUBURBAN,
,TAHOE,
,TRACKER,
,TRAIL-BLAZER,
